,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data,trial_index,arm_name,trial_status,generation_method,Objective,B,Sc,Cr,Y,Zr,Gd,Hf,Ta,W,Re,Function
54,random_bb,2,14.0,15,[134.14889825638772],134.14889825638772,172.9382536276803,,,,,,,,,,,,,,,,,
55,random_bb,2,15.0,16,[156.19085691648428],156.19085691648428,172.9382536276803,,,,,,,,,,,,,,,,,
56,random_bb,2,16.0,17,[151.04621599946466],151.04621599946466,172.9382536276803,,,,,,,,,,,,,,,,,
57,random_bb,2,17.0,18,[148.9973261341777],148.9973261341777,172.9382536276803,,,,,,,,,,,,,,,,,
58,random_bb,2,18.0,19,[144.96028373864337],144.96028373864337,172.9382536276803,,,,,,,,,,,,,,,,,
59,random_bb,2,19.0,20,[119.5667350783483],119.5667350783483,172.9382536276803,,,,,,,,,,,,,,,,,
60,random_bb,3,0.0,1,[128.29589493037537],128.29589493037537,128.29589493037537,,,,,,,,,,,,,,,,,
61,random_bb,3,1.0,2,[133.96956615054],133.96956615054,133.96956615054,,,,,,,,,,,,,,,,,
62,random_bb,3,2.0,3,[143.75696615970708],143.75696615970708,143.75696615970708,,,,,,,,,,,,,,,,,
63,random_bb,3,3.0,4,[134.92790723134476],134.92790723134476,143.75696615970708,,,,,,,,,,,,,,,,,
64,random_bb,3,4.0,5,[122.9576937349564],122.9576937349564,143.75696615970708,,,,,,,,,,,,,,,,,
65,random_bb,3,5.0,6,[139.8889943859047],139.8889943859047,143.75696615970708,,,,,,,,,,,,,,,,,
66,random_bb,3,6.0,7,[148.72605678839184],148.72605678839184,148.72605678839184,,,,,,,,,,,,,,,,,
67,random_bb,3,7.0,8,[113.43623595623639],113.43623595623639,148.72605678839184,,,,,,,,,,,,,,,,,
68,random_bb,3,8.0,9,[149.57831360708985],149.57831360708985,149.57831360708985,,,,,,,,,,,,,,,,,
69,random_bb,3,9.0,10,[151.04621599946466],151.04621599946466,151.04621599946466,,,,,,,,,,,,,,,,,
70,random_bb,3,10.0,11,[135.00685581032218],135.00685581032218,151.04621599946466,,,,,,,,,,,,,,,,,
71,random_bb,3,11.0,12,[157.2601275502924],157.2601275502924,157.2601275502924,,,,,,,,,,,,,,,,,
72,random_bb,3,12.0,13,[142.00747890081215],142.00747890081215,157.2601275502924,,,,,,,,,,,,,,,,,
73,random_bb,3,13.0,14,[123.93811332092741],123.93811332092741,157.2601275502924,,,,,,,,,,,,,,,,,
74,random_bb,3,14.0,15,[137.6825662628294],137.6825662628294,157.2601275502924,,,,,,,,,,,,,,,,,
75,random_bb,3,15.0,16,[146.13669614786681],146.13669614786681,157.2601275502924,,,,,,,,,,,,,,,,,
76,random_bb,3,16.0,17,[122.3984434787847],122.3984434787847,157.2601275502924,,,,,,,,,,,,,,,,,
77,random_bb,3,17.0,18,[142.37274889861231],142.37274889861231,157.2601275502924,,,,,,,,,,,,,,,,,
78,random_bb,3,18.0,19,[106.22927448999997],106.22927448999997,157.2601275502924,,,,,,,,,,,,,,,,,
79,random_bb,3,19.0,20,[143.56320631279337],143.56320631279337,157.2601275502924,,,,,,,,,,,,,,,,,
80,random_bb,4,0.0,1,[121.70683253959652],121.70683253959652,121.70683253959652,,,,,,,,,,,,,,,,,
81,random_bb,4,1.0,2,[148.38798148885505],148.38798148885505,148.38798148885505,,,,,,,,,,,,,,,,,
82,random_bb,4,2.0,3,[83.16394518020324],83.16394518020324,148.38798148885505,,,,,,,,,,,,,,,,,
83,random_bb,4,3.0,4,[113.78737139047261],113.78737139047261,148.38798148885505,,,,,,,,,,,,,,,,,
84,random_bb,4,4.0,5,[153.81739983748278],153.81739983748278,153.81739983748278,,,,,,,,,,,,,,,,,
85,random_bb,4,5.0,6,[172.9382536276803],172.9382536276803,172.9382536276803,,,,,,,,,,,,,,,,,
86,random_bb,4,6.0,7,[123.8089980191226],123.8089980191226,172.9382536276803,,,,,,,,,,,,,,,,,
87,random_bb,4,7.0,8,[144.37198284311458],144.37198284311458,172.9382536276803,,,,,,,,,,,,,,,,,
88,random_bb,4,8.0,9,[145.51819311471445],145.51819311471445,172.9382536276803,,,,,,,,,,,,,,,,,
89,random_bb,4,9.0,10,[137.90638877821684],137.90638877821684,172.9382536276803,,,,,,,,,,,,,,,,,
90,random_bb,4,10.0,11,[120.14447039437856],120.14447039437856,172.9382536276803,,,,,,,,,,,,,,,,,
91,random_bb,4,11.0,12,[134.92790723134476],134.92790723134476,172.9382536276803,,,,,,,,,,,,,,,,,
92,random_bb,4,12.0,13,[141.23533652070077],141.23533652070077,172.9382536276803,,,,,,,,,,,,,,,,,
93,random_bb,4,13.0,14,[143.50927187424523],143.50927187424523,172.9382536276803,,,,,,,,,,,,,,,,,
94,random_bb,4,14.0,15,[150.79684372186182],150.79684372186182,172.9382536276803,,,,,,,,,,,,,,,,,
95,random_bb,4,15.0,16,[147.49402922192442],147.49402922192442,172.9382536276803,,,,,,,,,,,,,,,,,
