,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,0,0,1,[134.14889825638772],134.14889825638772,134.14889825638772,
1,random,0,1,2,[138.79238862868013],138.79238862868013,138.79238862868013,
2,random,0,2,3,[106.22927448999997],106.22927448999997,138.79238862868013,
3,random,0,3,4,[139.77718748970685],139.77718748970685,139.77718748970685,
4,random,0,4,5,[146.36334018327767],146.36334018327767,146.36334018327767,
5,random,0,5,6,[144.37198284311458],144.37198284311458,146.36334018327767,
6,random,0,6,7,[138.6573753120435],138.6573753120435,146.36334018327767,
7,random,0,7,8,[140.38367430411716],140.38367430411716,146.36334018327767,
8,random,0,8,9,[119.10061804970184],119.10061804970184,146.36334018327767,
9,random,0,9,10,[162.45242842752012],162.45242842752012,162.45242842752012,
10,random,0,10,11,[124.33296115997209],124.33296115997209,162.45242842752012,
11,random,0,11,12,[135.00266042722274],135.00266042722274,162.45242842752012,
12,random,0,12,13,[138.36535852769708],138.36535852769708,162.45242842752012,
13,random,0,13,14,[120.2816580285045],120.2816580285045,162.45242842752012,
14,random,0,14,15,[127.73307155344756],127.73307155344756,162.45242842752012,
15,random,0,15,16,[158.1333799161532],158.1333799161532,162.45242842752012,
16,random,0,16,17,[121.92929330241844],121.92929330241844,162.45242842752012,
17,random,0,17,18,[156.19085691648428],156.19085691648428,162.45242842752012,
18,random,0,18,19,[149.34474941658686],149.34474941658686,162.45242842752012,
19,random,0,19,20,[150.35400489203658],150.35400489203658,162.45242842752012,
20,random,0,20,21,[109.58044587207594],109.58044587207594,162.45242842752012,
21,random,0,21,22,[153.81739983748278],153.81739983748278,162.45242842752012,
22,random,0,22,23,[163.68216005041552],163.68216005041552,163.68216005041552,
23,random,0,23,24,[147.49402922192442],147.49402922192442,163.68216005041552,
24,random,0,24,25,[139.8889943859047],139.8889943859047,163.68216005041552,
25,random,0,25,26,[123.93811332092741],123.93811332092741,163.68216005041552,
26,random,0,26,27,[125.55785596126495],125.55785596126495,163.68216005041552,
27,random,0,27,28,[122.9576937349564],122.9576937349564,163.68216005041552,
28,random,0,28,29,[133.96956615054],133.96956615054,163.68216005041552,
29,random,0,29,30,[142.37274889861231],142.37274889861231,163.68216005041552,
30,random,1,0,1,[125.55785596126495],125.55785596126495,125.55785596126495,
31,random,1,1,2,[143.75696615970708],143.75696615970708,143.75696615970708,
32,random,1,2,3,[113.33471735678211],113.33471735678211,143.75696615970708,
33,random,1,3,4,[140.94417997843442],140.94417997843442,143.75696615970708,
34,random,1,4,5,[163.68216005041552],163.68216005041552,163.68216005041552,
35,random,1,5,6,[120.2816580285045],120.2816580285045,163.68216005041552,
36,random,1,6,7,[120.14447039437856],120.14447039437856,163.68216005041552,
37,random,1,7,8,[113.43623595623639],113.43623595623639,163.68216005041552,
38,random,1,8,9,[142.20137342601748],142.20137342601748,163.68216005041552,
39,random,1,9,10,[157.2601275502924],157.2601275502924,163.68216005041552,
40,random,1,10,11,[146.14990683524644],146.14990683524644,163.68216005041552,
41,random,1,11,12,[145.3396217994108],145.3396217994108,163.68216005041552,
42,random,1,12,13,[150.79684372186182],150.79684372186182,163.68216005041552,
43,random,1,13,14,[142.37274889861231],142.37274889861231,163.68216005041552,
44,random,1,14,15,[127.64440554317409],127.64440554317409,163.68216005041552,
45,random,1,15,16,[119.10061804970184],119.10061804970184,163.68216005041552,
46,random,1,16,17,[124.33296115997209],124.33296115997209,163.68216005041552,
47,random,1,17,18,[123.93811332092741],123.93811332092741,163.68216005041552,
48,random,1,18,19,[122.3984434787847],122.3984434787847,163.68216005041552,
49,random,1,19,20,[148.72605678839184],148.72605678839184,163.68216005041552,
50,random,1,20,21,[121.92929330241844],121.92929330241844,163.68216005041552,
51,random,1,21,22,[117.69744918762859],117.69744918762859,163.68216005041552,
52,random,1,22,23,[144.96028373864337],144.96028373864337,163.68216005041552,
53,random,1,23,24,[164.95783085754786],164.95783085754786,164.95783085754786,
54,random,1,24,25,[151.04621599946466],151.04621599946466,164.95783085754786,
55,random,1,25,26,[158.10035989792027],158.10035989792027,164.95783085754786,
56,random,1,26,27,[139.34604170468722],139.34604170468722,164.95783085754786,
57,random,1,27,28,[166.22193370353094],166.22193370353094,166.22193370353094,
58,random,1,28,29,[148.9973261341777],148.9973261341777,166.22193370353094,
59,random,1,29,30,[121.70683253959652],121.70683253959652,166.22193370353094,
60,random,2,0,1,[162.45475186999536],162.45475186999536,162.45475186999536,
61,random,2,1,2,[137.6825662628294],137.6825662628294,162.45475186999536,
62,random,2,2,3,[146.36334018327767],146.36334018327767,162.45475186999536,
63,random,2,3,4,[122.9576937349564],122.9576937349564,162.45475186999536,
64,random,2,4,5,[124.28508028761419],124.28508028761419,162.45475186999536,
65,random,2,5,6,[113.33471735678211],113.33471735678211,162.45475186999536,
66,random,2,6,7,[157.2601275502924],157.2601275502924,162.45475186999536,
67,random,2,7,8,[140.94417997843442],140.94417997843442,162.45475186999536,
68,random,2,8,9,[152.22068911320298],152.22068911320298,162.45475186999536,
69,random,2,9,10,[164.95783085754786],164.95783085754786,164.95783085754786,
70,random,2,10,11,[172.9382536276803],172.9382536276803,172.9382536276803,
