,Number of data used,Random_Seed,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,1337,0,1,[9.93288590604027],9.93288590604027,9.93288590604027,
1,random,1337,1,2,[8.106207850340136],8.106207850340136,9.93288590604027,
2,random,1337,2,3,[9.832214765100671],9.832214765100671,9.93288590604027,
3,random,1337,3,4,[5.888590267346938],5.888590267346938,9.93288590604027,
4,random,1337,4,5,[87.01425775510204],87.01425775510204,87.01425775510204,
5,random,1337,5,6,[15.714285714285715],15.714285714285715,87.01425775510204,
6,random,1337,6,7,[37.76869325510204],37.76869325510204,87.01425775510204,
7,random,1337,7,8,[35.49189269387755],35.49189269387755,87.01425775510204,
8,random,1337,8,9,[16.683673469387756],16.683673469387756,87.01425775510204,
9,random,1337,9,10,[94.74214759183674],94.74214759183674,94.74214759183674,
10,random,1338,0,1,[80.86010428571429],80.86010428571429,80.86010428571429,
11,random,1338,1,2,[10.23190656462585],10.23190656462585,80.86010428571429,
12,random,1338,2,3,[71.26614126530613],71.26614126530613,80.86010428571429,
13,random,1338,3,4,[37.91005084693878],37.91005084693878,80.86010428571429,
14,random,1338,4,5,[35.7540598367347],35.7540598367347,80.86010428571429,
15,random,1338,5,6,[35.90416810204081],35.90416810204081,80.86010428571429,
16,random,1338,6,7,[94.74214759183674],94.74214759183674,94.74214759183674,
17,random,1338,7,8,[33.60978073469388],33.60978073469388,94.74214759183674,
18,random,1338,8,9,[14.586025867346939],14.586025867346939,94.74214759183674,
19,random,1338,9,10,[11.165019489795919],11.165019489795919,94.74214759183674,
20,random,1339,0,1,[7.312925170068027],7.312925170068027,7.312925170068027,
21,random,1339,1,2,[72.83892597959183],72.83892597959183,72.83892597959183,
22,random,1339,2,3,[5.3178635979591835],5.3178635979591835,72.83892597959183,
23,random,1339,3,4,[10.23190656462585],10.23190656462585,72.83892597959183,
24,random,1339,4,5,[37.14285714285714],37.14285714285714,72.83892597959183,
25,random,1339,5,6,[11.379993826530612],11.379993826530612,72.83892597959183,
26,random,1339,6,7,[5.7237033244897955],5.7237033244897955,72.83892597959183,
