,Number of data used,Random_Seed,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
0,random,1337,0,1,[16.122448979591837],16.122448979591837,16.122448979591837,
1,random,1337,1,2,[12.863327147959184],12.863327147959184,16.122448979591837,
2,random,1337,2,3,[9.832214765100671],9.832214765100671,16.122448979591837,
3,random,1337,3,4,[80.20408163265306],80.20408163265306,80.20408163265306,
4,random,1337,4,5,[11.25278211904762],11.25278211904762,80.20408163265306,
5,random,1337,5,6,[72.42394808163266],72.42394808163266,80.20408163265306,
6,random,1337,6,7,[83.6734693877551],83.6734693877551,83.6734693877551,
7,random,1337,7,8,[10.01706524489796],10.01706524489796,83.6734693877551,
8,random,1337,8,9,[17.19387755102041],17.19387755102041,83.6734693877551,
9,random,1337,9,10,[94.74214759183674],94.74214759183674,94.74214759183674,
10,random,1337,10,11,[5.183673469387754],5.183673469387754,94.74214759183674,
11,random,1337,11,12,[6.511887291836734],6.511887291836734,94.74214759183674,
12,random,1337,12,13,[88.16326530612245],88.16326530612245,94.74214759183674,
13,random,1337,13,14,[18.564920530612245],18.564920530612245,94.74214759183674,
14,random,1337,14,15,[13.940560561224489],13.940560561224489,94.74214759183674,
15,random,1337,15,16,[4.952747824489796],4.952747824489796,94.74214759183674,
16,random,1337,16,17,[9.032129394557824],9.032129394557824,94.74214759183674,
17,random,1337,17,18,[10.500902544217688],10.500902544217688,94.74214759183674,
18,random,1337,18,19,[93.77865951020408],93.77865951020408,94.74214759183674,
19,random,1337,19,20,[10.503355704697986],10.503355704697986,94.74214759183674,
20,random,1337,20,21,[78.64854436734694],78.64854436734694,94.74214759183674,
21,random,1337,21,22,[33.60978073469388],33.60978073469388,94.74214759183674,
22,random,1337,22,23,[44.68167994897959],44.68167994897959,94.74214759183674,
23,random,1337,23,24,[75.09898],75.09898,94.74214759183674,
24,random,1337,24,25,[5.2287778142857135],5.2287778142857135,94.74214759183674,
25,random,1337,25,26,[88.30159491836734],88.30159491836734,94.74214759183674,
26,random,1337,26,27,[5.786510240816326],5.786510240816326,94.74214759183674,
27,random,1337,27,28,[14.07755531122449],14.07755531122449,94.74214759183674,
28,random,1337,28,29,[3.127551020408163],3.127551020408163,94.74214759183674,
29,random,1337,29,30,[36.63265306122449],36.63265306122449,94.74214759183674,
30,random,1338,0,1,[33.7346295],33.7346295,33.7346295,
31,random,1338,1,2,[80.11930371428572],80.11930371428572,80.11930371428572,
32,random,1338,2,3,[5.00077097755102],5.00077097755102,80.11930371428572,
33,random,1338,3,4,[14.312486974489795],14.312486974489795,80.11930371428572,
34,random,1338,4,5,[5.889494273469388],5.889494273469388,80.11930371428572,
35,random,1338,5,6,[5.805997334693878],5.805997334693878,80.11930371428572,
36,random,1338,6,7,[39.64399843877551],39.64399843877551,80.11930371428572,
37,random,1338,7,8,[4.8293603938775505],4.8293603938775505,80.11930371428572,
38,random,1338,8,9,[91.03431585714286],91.03431585714286,91.03431585714286,
39,random,1338,9,10,[31.53061224489796],31.53061224489796,91.03431585714286,
40,random,1338,10,11,[39.294622],39.294622,91.03431585714286,
41,random,1338,11,12,[5.3178635979591835],5.3178635979591835,91.03431585714286,
42,random,1338,12,13,[6.810170636734694],6.810170636734694,91.03431585714286,
43,random,1338,13,14,[15.049115397959184],15.049115397959184,91.03431585714286,
44,random,1338,14,15,[11.981871653061225],11.981871653061225,91.03431585714286,
45,random,1338,15,16,[92.13238297959184],92.13238297959184,92.13238297959184,
46,random,1338,16,17,[16.489580454081633],16.489580454081633,92.13238297959184,
47,random,1338,17,18,[3.0470889653061226],3.0470889653061226,92.13238297959184,
48,random,1338,18,19,[12.653061224489797],12.653061224489797,92.13238297959184,
49,random,1338,19,20,[89.33094697959183],89.33094697959183,92.13238297959184,
