,Number of data used,Random_Seed,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
228,random,1344,18,19,[166.22193370353094],166.22193370353094,166.22193370353094,
229,random,1344,19,20,[119.5667350783483],119.5667350783483,166.22193370353094,
230,random,1344,20,21,[117.25187832749276],117.25187832749276,166.22193370353094,
231,random,1344,21,22,[164.58001172560898],164.58001172560898,166.22193370353094,
232,random,1344,22,23,[148.72605678839184],148.72605678839184,166.22193370353094,
233,random,1344,23,24,[150.35400489203658],150.35400489203658,166.22193370353094,
234,random,1344,24,25,[115.70130494335822],115.70130494335822,166.22193370353094,
235,random,1344,25,26,[134.92790723134476],134.92790723134476,166.22193370353094,
236,random,1344,26,27,[142.37274889861231],142.37274889861231,166.22193370353094,
237,random,1344,27,28,[120.14447039437856],120.14447039437856,166.22193370353094,
238,random,1344,28,29,[123.93811332092741],123.93811332092741,166.22193370353094,
239,random,1344,29,30,[137.90638877821684],137.90638877821684,166.22193370353094,
240,random,1345,0,1,[134.92790723134476],134.92790723134476,134.92790723134476,
241,random,1345,1,2,[138.79238862868013],138.79238862868013,138.79238862868013,
242,random,1345,2,3,[120.2816580285045],120.2816580285045,138.79238862868013,
243,random,1345,3,4,[125.55785596126495],125.55785596126495,138.79238862868013,
244,random,1345,4,5,[139.77718748970685],139.77718748970685,139.77718748970685,
245,random,1345,5,6,[157.3709982220219],157.3709982220219,157.3709982220219,
246,random,1345,6,7,[146.76694916719543],146.76694916719543,157.3709982220219,
247,random,1345,7,8,[141.23533652070077],141.23533652070077,157.3709982220219,
248,random,1345,8,9,[124.33296115997209],124.33296115997209,157.3709982220219,
249,random,1345,9,10,[137.6825662628294],137.6825662628294,157.3709982220219,
250,random,1345,10,11,[147.0022769034152],147.0022769034152,157.3709982220219,
251,random,1345,11,12,[139.78164266941704],139.78164266941704,157.3709982220219,
252,random,1345,12,13,[150.79684372186182],150.79684372186182,157.3709982220219,
253,random,1345,13,14,[122.3984434787847],122.3984434787847,157.3709982220219,
254,random,1345,14,15,[113.4362359562364],113.4362359562364,157.3709982220219,
255,random,1345,15,16,[119.10061804970184],119.10061804970184,157.3709982220219,
256,random,1345,16,17,[141.5965383612692],141.5965383612692,157.3709982220219,
257,random,1345,17,18,[172.9382536276803],172.9382536276803,172.9382536276803,
258,random,1345,18,19,[125.78672619143359],125.78672619143359,172.9382536276803,
259,random,1345,19,20,[156.19085691648428],156.19085691648428,172.9382536276803,
260,random,1345,20,21,[123.41008727557768],123.41008727557768,172.9382536276803,
261,random,1345,21,22,[139.34604170468722],139.34604170468722,172.9382536276803,
262,random,1345,22,23,[128.29589493037537],128.29589493037537,172.9382536276803,
263,random,1345,23,24,[121.92929330241844],121.92929330241844,172.9382536276803,
264,random,1345,24,25,[148.9973261341777],148.9973261341777,172.9382536276803,
265,random,1345,25,26,[166.22193370353094],166.22193370353094,172.9382536276803,
266,random,1345,26,27,[142.20137342601748],142.20137342601748,172.9382536276803,
267,random,1345,27,28,[157.2601275502924],157.2601275502924,172.9382536276803,
268,random,1345,28,29,[135.00685581032218],135.00685581032218,172.9382536276803,
269,random,1345,29,30,[122.0447716941213],122.0447716941213,172.9382536276803,
270,random,1346,0,1,[122.3984434787847],122.3984434787847,122.3984434787847,
271,random,1346,1,2,[164.58001172560898],164.58001172560898,164.58001172560898,
272,random,1346,2,3,[134.92790723134476],134.92790723134476,164.58001172560898,
273,random,1346,3,4,[124.28508028761419],124.28508028761419,164.58001172560898,
274,random,1346,4,5,[127.64440554317409],127.64440554317409,164.58001172560898,
275,random,1346,5,6,[139.78164266941704],139.78164266941704,164.58001172560898,
276,random,1346,6,7,[150.35400489203658],150.35400489203658,164.58001172560898,
277,random,1346,7,8,[123.80899801912258],123.80899801912258,164.58001172560898,
278,random,1346,8,9,[145.51819311471445],145.51819311471445,164.58001172560898,
279,random,1346,9,10,[113.4362359562364],113.4362359562364,164.58001172560898,
280,random,1346,10,11,[144.96028373864337],144.96028373864337,164.58001172560898,
281,random,1346,11,12,[128.29589493037537],128.29589493037537,164.58001172560898,
282,random,1346,12,13,[148.38798148885505],148.38798148885505,164.58001172560898,
283,random,1346,13,14,[147.0022769034152],147.0022769034152,164.58001172560898,
284,random,1346,14,15,[142.20137342601748],142.20137342601748,164.58001172560898,
285,random,1346,15,16,[138.6573753120435],138.6573753120435,164.58001172560898,
286,random,1346,16,17,[164.95783085754786],164.95783085754786,164.95783085754786,
287,random,1346,17,18,[140.38367430411714],140.38367430411714,164.95783085754786,
288,random,1346,18,19,[146.36334018327767],146.36334018327767,164.95783085754786,
289,random,1346,19,20,[123.41008727557768],123.41008727557768,164.95783085754786,
290,random,1346,20,21,[139.8889943859047],139.8889943859047,164.95783085754786,
291,random,1346,21,22,[139.77718748970685],139.77718748970685,164.95783085754786,
292,random,1346,22,23,[117.69744918762859],117.69744918762859,164.95783085754786,
293,random,1346,23,24,[125.55785596126495],125.55785596126495,164.95783085754786,
294,random,1346,24,25,[143.75696615970708],143.75696615970708,164.95783085754786,
295,random,1346,25,26,[143.56320631279337],143.56320631279337,164.95783085754786,
296,random,1346,26,27,[172.9382536276803],172.9382536276803,172.9382536276803,
297,random,1346,27,28,[144.37198284311458],144.37198284311458,172.9382536276803,
298,random,1346,28,29,[135.00685581032218],135.00685581032218,172.9382536276803,
299,random,1346,29,30,[155.4607999734539],155.4607999734539,172.9382536276803,
0,0,1337,0,1,[146.1499068352464],146.1499068352464,146.1499068352464,
1,0,1337,1,2,[141.23533652070077],141.23533652070077,146.1499068352464,
2,0,1337,2,3,[106.22927448999997],106.22927448999997,146.1499068352464,
3,0,1337,3,4,[125.78672619143359],125.78672619143359,146.1499068352464,
4,0,1337,4,5,[113.4362359562364],113.4362359562364,146.1499068352464,
5,0,1337,5,6,[122.0447716941213],122.0447716941213,146.1499068352464,
6,0,1337,6,7,[142.20137342601748],142.20137342601748,146.1499068352464,
7,0,1337,7,8,[147.49402922192442],147.49402922192442,147.49402922192442,
8,0,1337,8,9,[117.25187832749276],117.25187832749276,147.49402922192442,
9,0,1337,9,10,[137.6825662628294],137.6825662628294,147.49402922192442,
