,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
29,random,1,9,10,[117.69744918762859],117.69744918762859,172.9382536276803,
30,random,1,10,11,[121.70683253959652],121.70683253959652,172.9382536276803,
31,random,1,11,12,[127.73307155344756],127.73307155344756,172.9382536276803,
32,random,1,12,13,[151.04621599946466],151.04621599946466,172.9382536276803,
33,random,1,13,14,[162.45475186999536],162.45475186999536,172.9382536276803,
34,random,1,14,15,[123.93811332092741],123.93811332092741,172.9382536276803,
35,random,1,15,16,[172.10145777143768],172.10145777143768,172.9382536276803,
36,random,1,16,17,[146.14990683524644],146.14990683524644,172.9382536276803,
37,random,1,17,18,[144.37198284311458],144.37198284311458,172.9382536276803,
38,random,1,18,19,[135.00685581032218],135.00685581032218,172.9382536276803,
39,random,1,19,20,[157.3709982220219],157.3709982220219,172.9382536276803,
40,random,2,0,1,[123.4100872755777],123.4100872755777,123.4100872755777,
41,random,2,1,2,[162.45475186999536],162.45475186999536,162.45475186999536,
42,random,2,2,3,[146.13669614786681],146.13669614786681,162.45475186999536,
43,random,2,3,4,[145.51819311471445],145.51819311471445,162.45475186999536,
44,random,2,4,5,[124.33296115997209],124.33296115997209,162.45475186999536,
45,random,2,5,6,[123.93811332092741],123.93811332092741,162.45475186999536,
46,random,2,6,7,[115.70130494335822],115.70130494335822,162.45475186999536,
47,random,2,7,8,[142.7204626430639],142.7204626430639,162.45475186999536,
48,random,2,8,9,[158.10035989792027],158.10035989792027,162.45475186999536,
49,random,2,9,10,[162.45242842752012],162.45242842752012,162.45475186999536,
50,random,2,10,11,[113.33471735678211],113.33471735678211,162.45475186999536,
51,random,2,11,12,[157.2601275502924],157.2601275502924,162.45475186999536,
52,random,2,12,13,[134.14889825638772],134.14889825638772,162.45475186999536,
53,random,2,13,14,[144.37198284311458],144.37198284311458,162.45475186999536,
54,random,2,14,15,[125.55785596126495],125.55785596126495,162.45475186999536,
55,random,2,15,16,[135.58222778383404],135.58222778383404,162.45475186999536,
56,random,2,16,17,[138.36535852769708],138.36535852769708,162.45475186999536,
57,random,2,17,18,[127.73307155344756],127.73307155344756,162.45475186999536,
58,random,2,18,19,[122.0447716941213],122.0447716941213,162.45475186999536,
59,random,2,19,20,[140.38367430411716],140.38367430411716,162.45475186999536,
60,random,3,0,1,[145.3396217994108],145.3396217994108,145.3396217994108,
61,random,3,1,2,[144.37198284311458],144.37198284311458,145.3396217994108,
62,random,3,2,3,[113.78737139047261],113.78737139047261,145.3396217994108,
63,random,3,3,4,[157.2601275502924],157.2601275502924,157.2601275502924,
64,random,3,4,5,[127.64440554317409],127.64440554317409,157.2601275502924,
65,random,3,5,6,[138.6573753120435],138.6573753120435,157.2601275502924,
66,random,3,6,7,[143.56320631279337],143.56320631279337,157.2601275502924,
67,random,3,7,8,[141.5965383612692],141.5965383612692,157.2601275502924,
68,random,3,8,9,[122.0447716941213],122.0447716941213,157.2601275502924,
69,random,3,9,10,[127.73307155344756],127.73307155344756,157.2601275502924,
70,random,3,10,11,[113.43623595623639],113.43623595623639,157.2601275502924,
71,random,3,11,12,[152.22068911320298],152.22068911320298,157.2601275502924,
72,random,3,12,13,[141.23533652070077],141.23533652070077,157.2601275502924,
73,random,3,13,14,[148.38798148885505],148.38798148885505,157.2601275502924,
74,random,3,14,15,[137.6825662628294],137.6825662628294,157.2601275502924,
75,random,3,15,16,[150.79684372186182],150.79684372186182,157.2601275502924,
76,random,3,16,17,[142.00747890081215],142.00747890081215,157.2601275502924,
77,random,3,17,18,[158.1333799161532],158.1333799161532,158.1333799161532,
78,random,3,18,19,[144.96028373864337],144.96028373864337,158.1333799161532,
79,random,3,19,20,[141.99720450911195],141.99720450911195,158.1333799161532,
80,random,4,0,1,[150.79684372186182],150.79684372186182,150.79684372186182,
81,random,4,1,2,[127.73307155344756],127.73307155344756,150.79684372186182,
82,random,4,2,3,[135.00685581032218],135.00685581032218,150.79684372186182,
83,random,4,3,4,[142.37274889861231],142.37274889861231,150.79684372186182,
84,random,4,4,5,[137.6825662628294],137.6825662628294,150.79684372186182,
85,random,4,5,6,[123.14024426243438],123.14024426243438,150.79684372186182,
86,random,4,6,7,[123.93811332092741],123.93811332092741,150.79684372186182,
87,random,4,7,8,[139.78164266941704],139.78164266941704,150.79684372186182,
88,random,4,8,9,[122.0447716941213],122.0447716941213,150.79684372186182,
89,random,4,9,10,[141.99720450911195],141.99720450911195,150.79684372186182,
90,random,4,10,11,[153.76270622403183],153.76270622403183,153.76270622403183,
91,random,4,11,12,[138.36535852769708],138.36535852769708,153.76270622403183,
92,random,4,12,13,[135.58222778383404],135.58222778383404,153.76270622403183,
93,random,4,13,14,[153.81739983748278],153.81739983748278,153.81739983748278,
94,random,4,14,15,[142.20137342601748],142.20137342601748,153.81739983748278,
95,random,4,15,16,[147.49402922192442],147.49402922192442,153.81739983748278,
96,random,4,16,17,[139.34604170468722],139.34604170468722,153.81739983748278,
97,random,4,17,18,[155.4607999734539],155.4607999734539,155.4607999734539,
98,random,4,18,19,[146.36334018327767],146.36334018327767,155.4607999734539,
99,random,4,19,20,[121.70683253959652],121.70683253959652,155.4607999734539,
0,0,0,0,1,[123.14024426243438],123.14024426243438,123.14024426243438,
1,0,0,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
2,0,0,2,3,[106.22927448999997],106.22927448999997,141.23533652070077,
3,0,0,3,4,[143.1990010858288],143.1990010858288,143.1990010858288,
4,0,0,4,5,[113.43623595623639],113.43623595623639,143.1990010858288,
5,0,0,5,6,[122.0447716941213],122.0447716941213,143.1990010858288,
6,0,0,6,7,[117.25187832749276],117.25187832749276,143.1990010858288,
7,0,0,7,8,[147.49402922192442],147.49402922192442,147.49402922192442,
8,0,0,8,9,[157.3709982220219],157.3709982220219,157.3709982220219,
9,0,0,9,10,[135.00685581032218],135.00685581032218,157.3709982220219,
10,0,0,10,11,[158.1333799161532],158.1333799161532,158.1333799161532,
11,0,0,11,12,[142.20137342601748],142.20137342601748,158.1333799161532,
12,0,0,12,13,[150.35400489203658],150.35400489203658,158.1333799161532,
13,0,0,13,14,[151.04621599946466],151.04621599946466,158.1333799161532,
14,0,0,14,15,[143.56320631279337],143.56320631279337,158.1333799161532,
15,0,0,15,16,[139.34604170468722],139.34604170468722,158.1333799161532,
16,0,0,16,17,[152.22068911320298],152.22068911320298,158.1333799161532,
17,0,0,17,18,[141.99720450911195],141.99720450911195,158.1333799161532,
18,0,0,18,19,[137.6825662628294],137.6825662628294,158.1333799161532,
19,0,0,19,20,[162.45242842752012],162.45242842752012,162.45242842752012,
20,0,1,0,1,[123.14024426243438],123.14024426243438,123.14024426243438,
21,0,1,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
22,0,1,2,3,[106.22927448999997],106.22927448999997,141.23533652070077,
23,0,1,3,4,[143.1990010858288],143.1990010858288,143.1990010858288,
24,0,1,4,5,[113.43623595623639],113.43623595623639,143.1990010858288,
25,0,1,5,6,[122.0447716941213],122.0447716941213,143.1990010858288,
26,0,1,6,7,[117.25187832749276],117.25187832749276,143.1990010858288,
27,0,1,7,8,[147.49402922192442],147.49402922192442,147.49402922192442,
28,0,1,8,9,[137.6825662628294],137.6825662628294,147.49402922192442,
29,0,1,9,10,[143.56320631279337],143.56320631279337,147.49402922192442,
30,0,1,10,11,[157.3709982220219],157.3709982220219,157.3709982220219,
31,0,1,11,12,[158.1333799161532],158.1333799161532,158.1333799161532,
32,0,1,12,13,[135.00685581032218],135.00685581032218,158.1333799161532,
33,0,1,13,14,[150.35400489203658],150.35400489203658,158.1333799161532,
34,0,1,14,15,[151.04621599946466],151.04621599946466,158.1333799161532,
35,0,1,15,16,[139.34604170468722],139.34604170468722,158.1333799161532,
36,0,1,16,17,[142.20137342601748],142.20137342601748,158.1333799161532,
37,0,1,17,18,[152.22068911320298],152.22068911320298,158.1333799161532,
38,0,1,18,19,[119.10061804970184],119.10061804970184,158.1333799161532,
39,0,1,19,20,[162.45242842752012],162.45242842752012,162.45242842752012,
40,0,2,0,1,[138.79238862868013],138.79238862868013,138.79238862868013,
41,0,2,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
42,0,2,2,3,[125.78672619143359],125.78672619143359,141.23533652070077,
43,0,2,3,4,[106.22927448999997],106.22927448999997,141.23533652070077,
44,0,2,4,5,[113.43623595623639],113.43623595623639,141.23533652070077,
45,0,2,5,6,[142.20137342601748],142.20137342601748,142.20137342601748,
46,0,2,6,7,[147.49402922192442],147.49402922192442,147.49402922192442,
47,0,2,7,8,[122.0447716941213],122.0447716941213,147.49402922192442,
48,0,2,8,9,[139.77718748970685],139.77718748970685,147.49402922192442,
49,0,2,9,10,[117.25187832749276],117.25187832749276,147.49402922192442,
50,0,2,10,11,[157.3709982220219],157.3709982220219,157.3709982220219,
51,0,2,11,12,[151.04621599946466],151.04621599946466,157.3709982220219,
52,0,2,12,13,[158.1333799161532],158.1333799161532,158.1333799161532,
53,0,2,13,14,[150.35400489203658],150.35400489203658,158.1333799161532,
54,0,2,14,15,[152.22068911320298],152.22068911320298,158.1333799161532,
55,0,2,15,16,[119.10061804970184],119.10061804970184,158.1333799161532,
56,0,2,16,17,[121.92929330241844],121.92929330241844,158.1333799161532,
57,0,2,17,18,[162.45242842752012],162.45242842752012,162.45242842752012,
58,0,2,18,19,[153.76270622403183],153.76270622403183,162.45242842752012,
59,0,2,19,20,[141.99720450911195],141.99720450911195,162.45242842752012,
60,0,3,0,1,[106.22927448999997],106.22927448999997,106.22927448999997,
61,0,3,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
62,0,3,2,3,[113.43623595623639],113.43623595623639,141.23533652070077,
63,0,3,3,4,[143.1990010858288],143.1990010858288,143.1990010858288,
64,0,3,4,5,[125.78672619143359],125.78672619143359,143.1990010858288,
65,0,3,5,6,[122.0447716941213],122.0447716941213,143.1990010858288,
66,0,3,6,7,[147.49402922192442],147.49402922192442,147.49402922192442,
67,0,3,7,8,[117.25187832749276],117.25187832749276,147.49402922192442,
68,0,3,8,9,[157.3709982220219],157.3709982220219,157.3709982220219,
69,0,3,9,10,[151.04621599946466],151.04621599946466,157.3709982220219,
70,0,3,10,11,[158.1333799161532],158.1333799161532,158.1333799161532,
71,0,3,11,12,[121.92929330241844],121.92929330241844,158.1333799161532,
72,0,3,12,13,[142.20137342601748],142.20137342601748,158.1333799161532,
73,0,3,13,14,[150.35400489203658],150.35400489203658,158.1333799161532,
74,0,3,14,15,[119.10061804970184],119.10061804970184,158.1333799161532,
75,0,3,15,16,[152.22068911320298],152.22068911320298,158.1333799161532,
76,0,3,16,17,[162.45242842752012],162.45242842752012,162.45242842752012,
77,0,3,17,18,[153.76270622403183],153.76270622403183,162.45242842752012,
78,0,3,18,19,[141.99720450911195],141.99720450911195,162.45242842752012,
79,0,3,19,20,[137.6825662628294],137.6825662628294,162.45242842752012,
80,0,4,0,1,[137.6825662628294],137.6825662628294,137.6825662628294,
81,0,4,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,
82,0,4,2,3,[106.22927448999997],106.22927448999997,141.23533652070077,
83,0,4,3,4,[119.10061804970184],119.10061804970184,141.23533652070077,
84,0,4,4,5,[122.0447716941213],122.0447716941213,141.23533652070077,
85,0,4,5,6,[142.20137342601748],142.20137342601748,142.20137342601748,
86,0,4,6,7,[147.49402922192442],147.49402922192442,147.49402922192442,
87,0,4,7,8,[117.25187832749276],117.25187832749276,147.49402922192442,
88,0,4,8,9,[113.43623595623639],113.43623595623639,147.49402922192442,
89,0,4,9,10,[148.72605678839184],148.72605678839184,148.72605678839184,
90,0,4,10,11,[157.3709982220219],157.3709982220219,157.3709982220219,
91,0,4,11,12,[135.00685581032218],135.00685581032218,157.3709982220219,
92,0,4,12,13,[125.78672619143359],125.78672619143359,157.3709982220219,
93,0,4,13,14,[150.35400489203658],150.35400489203658,157.3709982220219,
94,0,4,14,15,[158.1333799161532],158.1333799161532,158.1333799161532,
95,0,4,15,16,[151.04621599946466],151.04621599946466,158.1333799161532,
96,0,4,16,17,[143.56320631279337],143.56320631279337,158.1333799161532,
97,0,4,17,18,[152.22068911320298],152.22068911320298,158.1333799161532,
98,0,4,18,19,[139.34604170468722],139.34604170468722,158.1333799161532,
99,0,4,19,20,[141.99720450911195],141.99720450911195,158.1333799161532,
0,5,0,0,1,[106.22927448999997],106.22927448999997,106.22927448999997,0.0
1,5,0,1,2,[141.23533652070077],141.23533652070077,141.23533652070077,0.0
2,5,0,2,3,[125.78672619143359],125.78672619143359,141.23533652070077,0.0
3,5,0,3,4,[143.1990010858288],143.1990010858288,143.1990010858288,0.0
4,5,0,4,5,[113.43623595623639],113.43623595623639,143.1990010858288,0.0
5,5,0,5,6,[117.25187832749276],117.25187832749276,143.1990010858288,0.0
6,5,0,6,7,[122.0447716941213],122.0447716941213,143.1990010858288,0.0
7,5,0,7,8,[157.3709982220219],157.3709982220219,157.3709982220219,0.0
8,5,0,8,9,[158.1333799161532],158.1333799161532,158.1333799161532,0.0
9,5,0,9,10,[119.10061804970184],119.10061804970184,158.1333799161532,0.0
