,Number of data used,Monte_Carlo_Run,Iteration,Num_Experiments,Target_Measurements,Target_IterBest,Target_CumBest,Initial_Data
44,random,1,14,15,[113.33471735678211],113.33471735678211,163.68216005041552,
45,random,1,15,16,[141.23533652070077],141.23533652070077,163.68216005041552,
46,random,1,16,17,[146.36334018327767],146.36334018327767,163.68216005041552,
47,random,1,17,18,[150.79684372186182],150.79684372186182,163.68216005041552,
48,random,1,18,19,[109.58044587207594],109.58044587207594,163.68216005041552,
49,random,1,19,20,[124.33296115997209],124.33296115997209,163.68216005041552,
50,random,1,20,21,[135.00685581032218],135.00685581032218,163.68216005041552,
51,random,1,21,22,[139.78164266941704],139.78164266941704,163.68216005041552,
52,random,1,22,23,[150.35400489203658],150.35400489203658,163.68216005041552,
53,random,1,23,24,[123.14024426243438],123.14024426243438,163.68216005041552,
54,random,1,24,25,[117.69744918762859],117.69744918762859,163.68216005041552,
55,random,1,25,26,[155.4607999734539],155.4607999734539,163.68216005041552,
56,random,1,26,27,[148.38798148885505],148.38798148885505,163.68216005041552,
57,random,1,27,28,[142.7204626430639],142.7204626430639,163.68216005041552,
58,random,1,28,29,[148.9973261341777],148.9973261341777,163.68216005041552,
59,random,1,29,30,[152.22068911320298],152.22068911320298,163.68216005041552,
60,random,2,0,1,[172.9382536276803],172.9382536276803,172.9382536276803,
61,random,2,1,2,[153.76270622403183],153.76270622403183,172.9382536276803,
62,random,2,2,3,[162.45475186999536],162.45475186999536,172.9382536276803,
63,random,2,3,4,[142.20137342601748],142.20137342601748,172.9382536276803,
64,random,2,4,5,[151.04621599946466],151.04621599946466,172.9382536276803,
65,random,2,5,6,[147.0022769034152],147.0022769034152,172.9382536276803,
66,random,2,6,7,[141.23533652070077],141.23533652070077,172.9382536276803,
67,random,2,7,8,[135.00266042722274],135.00266042722274,172.9382536276803,
68,random,2,8,9,[148.9973261341777],148.9973261341777,172.9382536276803,
69,random,2,9,10,[147.49402922192442],147.49402922192442,172.9382536276803,
70,random,2,10,11,[83.16394518020324],83.16394518020324,172.9382536276803,
71,random,2,11,12,[158.10035989792027],158.10035989792027,172.9382536276803,
72,random,2,12,13,[146.36334018327767],146.36334018327767,172.9382536276803,
73,random,2,13,14,[106.22927448999997],106.22927448999997,172.9382536276803,
74,random,2,14,15,[143.56320631279337],143.56320631279337,172.9382536276803,
75,random,2,15,16,[121.92929330241844],121.92929330241844,172.9382536276803,
76,random,2,16,17,[127.64440554317409],127.64440554317409,172.9382536276803,
77,random,2,17,18,[135.58222778383404],135.58222778383404,172.9382536276803,
78,random,2,18,19,[135.00685581032218],135.00685581032218,172.9382536276803,
79,random,2,19,20,[121.70683253959652],121.70683253959652,172.9382536276803,
80,random,2,20,21,[123.4100872755777],123.4100872755777,172.9382536276803,
81,random,2,21,22,[134.92790723134476],134.92790723134476,172.9382536276803,
82,random,2,22,23,[144.37198284311458],144.37198284311458,172.9382536276803,
83,random,2,23,24,[109.58044587207594],109.58044587207594,172.9382536276803,
84,random,2,24,25,[141.99720450911195],141.99720450911195,172.9382536276803,
85,random,2,25,26,[145.51819311471445],145.51819311471445,172.9382536276803,
86,random,2,26,27,[123.8089980191226],123.8089980191226,172.9382536276803,
87,random,2,27,28,[138.6573753120435],138.6573753120435,172.9382536276803,
88,random,2,28,29,[143.1990010858288],143.1990010858288,172.9382536276803,
89,random,2,29,30,[149.57831360708985],149.57831360708985,172.9382536276803,
90,random,3,0,1,[143.1990010858288],143.1990010858288,143.1990010858288,
91,random,3,1,2,[134.92790723134476],134.92790723134476,143.1990010858288,
92,random,3,2,3,[172.9382536276803],172.9382536276803,172.9382536276803,
93,random,3,3,4,[123.93811332092741],123.93811332092741,172.9382536276803,
94,random,3,4,5,[125.55785596126495],125.55785596126495,172.9382536276803,
95,random,3,5,6,[125.78672619143359],125.78672619143359,172.9382536276803,
96,random,3,6,7,[156.29592045921626],156.29592045921626,172.9382536276803,
97,random,3,7,8,[162.45242842752012],162.45242842752012,172.9382536276803,
98,random,3,8,9,[156.19085691648428],156.19085691648428,172.9382536276803,
99,random,3,9,10,[135.00266042722274],135.00266042722274,172.9382536276803,
100,random,3,10,11,[123.8089980191226],123.8089980191226,172.9382536276803,
101,random,3,11,12,[144.37198284311458],144.37198284311458,172.9382536276803,
102,random,3,12,13,[158.10035989792027],158.10035989792027,172.9382536276803,
103,random,3,13,14,[163.68216005041552],163.68216005041552,172.9382536276803,
104,random,3,14,15,[143.50927187424523],143.50927187424523,172.9382536276803,
105,random,3,15,16,[150.35400489203658],150.35400489203658,172.9382536276803,
106,random,3,16,17,[140.38367430411716],140.38367430411716,172.9382536276803,
107,random,3,17,18,[106.22927448999997],106.22927448999997,172.9382536276803,
108,random,3,18,19,[158.1333799161532],158.1333799161532,172.9382536276803,
109,random,3,19,20,[124.28508028761419],124.28508028761419,172.9382536276803,
110,random,3,20,21,[141.99720450911195],141.99720450911195,172.9382536276803,
111,random,3,21,22,[148.9973261341777],148.9973261341777,172.9382536276803,
112,random,3,22,23,[119.5667350783483],119.5667350783483,172.9382536276803,
113,random,3,23,24,[149.34474941658686],149.34474941658686,172.9382536276803,
114,random,3,24,25,[149.57831360708985],149.57831360708985,172.9382536276803,
115,random,3,25,26,[117.69744918762859],117.69744918762859,172.9382536276803,
116,random,3,26,27,[164.58001172560898],164.58001172560898,172.9382536276803,
117,random,3,27,28,[164.95783085754786],164.95783085754786,172.9382536276803,
118,random,3,28,29,[142.7204626430639],142.7204626430639,172.9382536276803,
119,random,3,29,30,[127.64440554317409],127.64440554317409,172.9382536276803,
120,random,4,0,1,[147.49402922192442],147.49402922192442,147.49402922192442,
121,random,4,1,2,[153.81739983748278],153.81739983748278,153.81739983748278,
122,random,4,2,3,[158.1333799161532],158.1333799161532,158.1333799161532,
123,random,4,3,4,[139.77718748970685],139.77718748970685,158.1333799161532,
124,random,4,4,5,[141.23533652070077],141.23533652070077,158.1333799161532,
125,random,4,5,6,[141.99720450911195],141.99720450911195,158.1333799161532,
126,random,4,6,7,[146.76694916719543],146.76694916719543,158.1333799161532,
127,random,4,7,8,[135.00685581032218],135.00685581032218,158.1333799161532,
128,random,4,8,9,[145.51819311471445],145.51819311471445,158.1333799161532,
129,random,4,9,10,[162.45242842752012],162.45242842752012,162.45242842752012,
130,random,4,10,11,[83.16394518020324],83.16394518020324,162.45242842752012,
131,random,4,11,12,[121.70683253959652],121.70683253959652,162.45242842752012,
132,random,4,12,13,[147.0022769034152],147.0022769034152,162.45242842752012,
133,random,4,13,14,[166.22193370353094],166.22193370353094,166.22193370353094,
134,random,4,14,15,[120.14447039437856],120.14447039437856,166.22193370353094,
135,random,4,15,16,[138.79238862868013],138.79238862868013,166.22193370353094,
136,random,4,16,17,[142.7204626430639],142.7204626430639,166.22193370353094,
137,random,4,17,18,[122.3984434787847],122.3984434787847,166.22193370353094,
138,random,4,18,19,[127.23817967487085],127.23817967487085,166.22193370353094,
139,random,4,19,20,[143.75696615970708],143.75696615970708,166.22193370353094,
140,random,4,20,21,[143.50927187424523],143.50927187424523,166.22193370353094,
141,random,4,21,22,[125.55785596126495],125.55785596126495,166.22193370353094,
142,random,4,22,23,[138.36535852769708],138.36535852769708,166.22193370353094,
143,random,4,23,24,[113.33471735678211],113.33471735678211,166.22193370353094,
144,random,4,24,25,[151.04621599946466],151.04621599946466,166.22193370353094,
145,random,4,25,26,[153.76270622403183],153.76270622403183,166.22193370353094,
146,random,4,26,27,[164.58001172560898],164.58001172560898,166.22193370353094,
147,random,4,27,28,[119.10061804970184],119.10061804970184,166.22193370353094,
148,random,4,28,29,[124.28508028761419],124.28508028761419,166.22193370353094,
149,random,4,29,30,[141.5965383612692],141.5965383612692,166.22193370353094,
150,random,5,0,1,[113.43623595623639],113.43623595623639,113.43623595623639,
151,random,5,1,2,[164.95783085754786],164.95783085754786,164.95783085754786,
152,random,5,2,3,[113.78737139047261],113.78737139047261,164.95783085754786,
153,random,5,3,4,[143.50927187424523],143.50927187424523,164.95783085754786,
154,random,5,4,5,[109.58044587207594],109.58044587207594,164.95783085754786,
155,random,5,5,6,[143.56320631279337],143.56320631279337,164.95783085754786,
156,random,5,6,7,[123.14024426243438],123.14024426243438,164.95783085754786,
157,random,5,7,8,[151.04621599946466],151.04621599946466,164.95783085754786,
158,random,5,8,9,[120.14447039437856],120.14447039437856,164.95783085754786,
159,random,5,9,10,[135.58222778383404],135.58222778383404,164.95783085754786,
160,random,5,10,11,[124.28508028761419],124.28508028761419,164.95783085754786,
161,random,5,11,12,[138.36535852769708],138.36535852769708,164.95783085754786,
162,random,5,12,13,[162.45475186999536],162.45475186999536,164.95783085754786,
163,random,5,13,14,[134.14889825638772],134.14889825638772,164.95783085754786,
164,random,5,14,15,[148.38798148885505],148.38798148885505,164.95783085754786,
165,random,5,15,16,[158.1333799161532],158.1333799161532,164.95783085754786,
166,random,5,16,17,[156.29592045921626],156.29592045921626,164.95783085754786,
167,random,5,17,18,[115.70130494335822],115.70130494335822,164.95783085754786,
168,random,5,18,19,[122.9576937349564],122.9576937349564,164.95783085754786,
169,random,5,19,20,[150.35400489203658],150.35400489203658,164.95783085754786,
170,random,5,20,21,[153.76270622403183],153.76270622403183,164.95783085754786,
171,random,5,21,22,[149.34474941658686],149.34474941658686,164.95783085754786,
172,random,5,22,23,[137.6825662628294],137.6825662628294,164.95783085754786,
173,random,5,23,24,[148.9973261341777],148.9973261341777,164.95783085754786,
174,random,5,24,25,[140.38367430411716],140.38367430411716,164.95783085754786,
175,random,5,25,26,[172.10145777143768],172.10145777143768,172.10145777143768,
176,random,5,26,27,[123.8089980191226],123.8089980191226,172.10145777143768,
177,random,5,27,28,[119.10061804970184],119.10061804970184,172.10145777143768,
178,random,5,28,29,[150.79684372186182],150.79684372186182,172.10145777143768,
179,random,5,29,30,[141.23533652070077],141.23533652070077,172.10145777143768,
180,random,6,0,1,[142.20137342601748],142.20137342601748,142.20137342601748,
181,random,6,1,2,[163.68216005041552],163.68216005041552,163.68216005041552,
182,random,6,2,3,[156.19085691648428],156.19085691648428,163.68216005041552,
183,random,6,3,4,[134.14889825638772],134.14889825638772,163.68216005041552,
184,random,6,4,5,[157.2601275502924],157.2601275502924,163.68216005041552,
185,random,6,5,6,[127.23817967487085],127.23817967487085,163.68216005041552,
186,random,6,6,7,[124.28508028761419],124.28508028761419,163.68216005041552,
187,random,6,7,8,[164.95783085754786],164.95783085754786,164.95783085754786,
188,random,6,8,9,[172.9382536276803],172.9382536276803,172.9382536276803,
189,random,6,9,10,[119.10061804970184],119.10061804970184,172.9382536276803,
190,random,6,10,11,[113.78737139047261],113.78737139047261,172.9382536276803,
191,random,6,11,12,[133.96956615054],133.96956615054,172.9382536276803,
192,random,6,12,13,[148.9973261341777],148.9973261341777,172.9382536276803,
193,random,6,13,14,[125.55785596126495],125.55785596126495,172.9382536276803,
194,random,6,14,15,[117.25187832749276],117.25187832749276,172.9382536276803,
195,random,6,15,16,[109.58044587207594],109.58044587207594,172.9382536276803,
196,random,6,16,17,[149.57831360708985],149.57831360708985,172.9382536276803,
197,random,6,17,18,[135.00685581032218],135.00685581032218,172.9382536276803,
198,random,6,18,19,[123.8089980191226],123.8089980191226,172.9382536276803,
199,random,6,19,20,[139.34604170468722],139.34604170468722,172.9382536276803,
200,random,6,20,21,[141.99720450911195],141.99720450911195,172.9382536276803,
201,random,6,21,22,[127.64440554317409],127.64440554317409,172.9382536276803,
202,random,6,22,23,[135.58222778383404],135.58222778383404,172.9382536276803,
203,random,6,23,24,[120.14447039437856],120.14447039437856,172.9382536276803,
204,random,6,24,25,[151.04621599946466],151.04621599946466,172.9382536276803,
205,random,6,25,26,[122.9576937349564],122.9576937349564,172.9382536276803,
206,random,6,26,27,[153.81739983748278],153.81739983748278,172.9382536276803,
207,random,6,27,28,[123.93811332092741],123.93811332092741,172.9382536276803,
208,random,6,28,29,[113.43623595623639],113.43623595623639,172.9382536276803,
209,random,6,29,30,[146.14990683524644],146.14990683524644,172.9382536276803,
210,random,7,0,1,[117.69744918762859],117.69744918762859,117.69744918762859,
211,random,7,1,2,[149.34474941658686],149.34474941658686,149.34474941658686,
212,random,7,2,3,[123.93811332092741],123.93811332092741,149.34474941658686,
213,random,7,3,4,[146.14990683524644],146.14990683524644,149.34474941658686,
214,random,7,4,5,[134.92790723134476],134.92790723134476,149.34474941658686,
215,random,7,5,6,[157.3709982220219],157.3709982220219,157.3709982220219,
216,random,7,6,7,[147.0022769034152],147.0022769034152,157.3709982220219,
217,random,7,7,8,[143.75696615970708],143.75696615970708,157.3709982220219,
218,random,7,8,9,[148.38798148885505],148.38798148885505,157.3709982220219,
219,random,7,9,10,[115.70130494335822],115.70130494335822,157.3709982220219,
220,random,7,10,11,[143.1990010858288],143.1990010858288,157.3709982220219,
221,random,7,11,12,[119.5667350783483],119.5667350783483,157.3709982220219,
222,random,7,12,13,[144.96028373864337],144.96028373864337,157.3709982220219,
223,random,7,13,14,[162.45242842752012],162.45242842752012,162.45242842752012,
224,random,7,14,15,[133.96956615054],133.96956615054,162.45242842752012,
225,random,7,15,16,[142.20137342601748],142.20137342601748,162.45242842752012,
226,random,7,16,17,[121.70683253959652],121.70683253959652,162.45242842752012,
227,random,7,17,18,[149.57831360708985],149.57831360708985,162.45242842752012,
228,random,7,18,19,[143.50927187424523],143.50927187424523,162.45242842752012,
229,random,7,19,20,[158.1333799161532],158.1333799161532,162.45242842752012,
230,random,7,20,21,[139.78164266941704],139.78164266941704,162.45242842752012,
231,random,7,21,22,[150.79684372186182],150.79684372186182,162.45242842752012,
232,random,7,22,23,[145.51819311471445],145.51819311471445,162.45242842752012,
233,random,7,23,24,[158.10035989792027],158.10035989792027,162.45242842752012,
234,random,7,24,25,[83.16394518020324],83.16394518020324,162.45242842752012,
235,random,7,25,26,[156.19085691648428],156.19085691648428,162.45242842752012,
236,random,7,26,27,[137.6825662628294],137.6825662628294,162.45242842752012,
237,random,7,27,28,[127.64440554317409],127.64440554317409,162.45242842752012,
238,random,7,28,29,[143.56320631279337],143.56320631279337,162.45242842752012,
239,random,7,29,30,[135.00266042722274],135.00266042722274,162.45242842752012,
240,random,8,0,1,[125.55785596126495],125.55785596126495,125.55785596126495,
241,random,8,1,2,[117.69744918762859],117.69744918762859,125.55785596126495,
242,random,8,2,3,[162.45242842752012],162.45242842752012,162.45242842752012,
243,random,8,3,4,[115.70130494335822],115.70130494335822,162.45242842752012,
244,random,8,4,5,[142.37274889861231],142.37274889861231,162.45242842752012,
245,random,8,5,6,[119.10061804970184],119.10061804970184,162.45242842752012,
246,random,8,6,7,[164.95783085754786],164.95783085754786,164.95783085754786,
247,random,8,7,8,[135.00685581032218],135.00685581032218,164.95783085754786,
248,random,8,8,9,[149.34474941658686],149.34474941658686,164.95783085754786,
249,random,8,9,10,[142.00747890081215],142.00747890081215,164.95783085754786,
250,random,8,10,11,[120.14447039437856],120.14447039437856,164.95783085754786,
251,random,8,11,12,[122.3984434787847],122.3984434787847,164.95783085754786,
252,random,8,12,13,[139.34604170468722],139.34604170468722,164.95783085754786,
253,random,8,13,14,[153.76270622403183],153.76270622403183,164.95783085754786,
254,random,8,14,15,[163.68216005041552],163.68216005041552,164.95783085754786,
255,random,8,15,16,[144.96028373864337],144.96028373864337,164.95783085754786,
256,random,8,16,17,[106.22927448999997],106.22927448999997,164.95783085754786,
257,random,8,17,18,[146.13669614786681],146.13669614786681,164.95783085754786,
258,random,8,18,19,[172.10145777143768],172.10145777143768,172.10145777143768,
259,random,8,19,20,[146.76694916719543],146.76694916719543,172.10145777143768,
260,random,8,20,21,[140.94417997843442],140.94417997843442,172.10145777143768,
261,random,8,21,22,[124.33296115997209],124.33296115997209,172.10145777143768,
262,random,8,22,23,[155.4607999734539],155.4607999734539,172.10145777143768,
263,random,8,23,24,[148.38798148885505],148.38798148885505,172.10145777143768,
264,random,8,24,25,[109.58044587207594],109.58044587207594,172.10145777143768,
265,random,8,25,26,[125.78672619143359],125.78672619143359,172.10145777143768,
266,random,8,26,27,[158.10035989792027],158.10035989792027,172.10145777143768,
267,random,8,27,28,[150.79684372186182],150.79684372186182,172.10145777143768,
268,random,8,28,29,[172.9382536276803],172.9382536276803,172.9382536276803,
269,random,8,29,30,[113.43623595623639],113.43623595623639,172.9382536276803,
270,random,9,0,1,[120.14447039437856],120.14447039437856,120.14447039437856,
271,random,9,1,2,[142.37274889861231],142.37274889861231,142.37274889861231,
272,random,9,2,3,[117.69744918762859],117.69744918762859,142.37274889861231,
273,random,9,3,4,[144.37198284311458],144.37198284311458,144.37198284311458,
274,random,9,4,5,[148.38798148885505],148.38798148885505,148.38798148885505,
275,random,9,5,6,[135.00266042722274],135.00266042722274,148.38798148885505,
276,random,9,6,7,[124.28508028761419],124.28508028761419,148.38798148885505,
277,random,9,7,8,[127.64440554317409],127.64440554317409,148.38798148885505,
278,random,9,8,9,[125.78672619143359],125.78672619143359,148.38798148885505,
279,random,9,9,10,[150.35400489203658],150.35400489203658,150.35400489203658,
280,random,9,10,11,[139.77718748970685],139.77718748970685,150.35400489203658,
281,random,9,11,12,[144.96028373864337],144.96028373864337,150.35400489203658,
282,random,9,12,13,[149.34474941658686],149.34474941658686,150.35400489203658,
283,random,9,13,14,[122.0447716941213],122.0447716941213,150.35400489203658,
284,random,9,14,15,[127.23817967487085],127.23817967487085,150.35400489203658,
285,random,9,15,16,[127.73307155344756],127.73307155344756,150.35400489203658,
286,random,9,16,17,[121.92929330241844],121.92929330241844,150.35400489203658,
287,random,9,17,18,[146.76694916719543],146.76694916719543,150.35400489203658,
288,random,9,18,19,[148.9973261341777],148.9973261341777,150.35400489203658,
289,random,9,19,20,[137.90638877821684],137.90638877821684,150.35400489203658,
290,random,9,20,21,[166.22193370353094],166.22193370353094,166.22193370353094,
291,random,9,21,22,[164.95783085754786],164.95783085754786,166.22193370353094,
292,random,9,22,23,[138.36535852769708],138.36535852769708,166.22193370353094,
293,random,9,23,24,[135.58222778383404],135.58222778383404,166.22193370353094,
294,random,9,24,25,[113.43623595623639],113.43623595623639,166.22193370353094,
295,random,9,25,26,[157.2601275502924],157.2601275502924,166.22193370353094,
296,random,9,26,27,[123.14024426243438],123.14024426243438,166.22193370353094,
297,random,9,27,28,[115.70130494335822],115.70130494335822,166.22193370353094,
298,random,9,28,29,[139.8889943859047],139.8889943859047,166.22193370353094,
299,random,9,29,30,[172.9382536276803],172.9382536276803,172.9382536276803,
0,0,0,0,1,[146.76694916719543],146.76694916719543,146.76694916719543,
1,0,0,1,2,[141.23533652070077],141.23533652070077,146.76694916719543,
2,0,0,2,3,[125.78672619143359],125.78672619143359,146.76694916719543,
3,0,0,3,4,[143.1990010858288],143.1990010858288,146.76694916719543,
4,0,0,4,5,[113.43623595623639],113.43623595623639,146.76694916719543,
5,0,0,5,6,[117.25187832749276],117.25187832749276,146.76694916719543,
6,0,0,6,7,[157.3709982220219],157.3709982220219,157.3709982220219,
7,0,0,7,8,[122.0447716941213],122.0447716941213,157.3709982220219,
8,0,0,8,9,[106.22927448999997],106.22927448999997,157.3709982220219,
9,0,0,9,10,[158.1333799161532],158.1333799161532,158.1333799161532,
10,0,0,10,11,[151.04621599946466],151.04621599946466,158.1333799161532,
11,0,0,11,12,[121.92929330241844],121.92929330241844,158.1333799161532,
12,0,0,12,13,[150.35400489203658],150.35400489203658,158.1333799161532,
13,0,0,13,14,[119.10061804970184],119.10061804970184,158.1333799161532,
14,0,0,14,15,[152.22068911320298],152.22068911320298,158.1333799161532,
15,0,0,15,16,[137.6825662628294],137.6825662628294,158.1333799161532,
16,0,0,16,17,[141.99720450911195],141.99720450911195,158.1333799161532,
17,0,0,17,18,[139.34604170468722],139.34604170468722,158.1333799161532,
18,0,0,18,19,[142.20137342601748],142.20137342601748,158.1333799161532,
19,0,0,19,20,[162.45242842752012],162.45242842752012,162.45242842752012,
20,0,0,20,21,[148.9973261341777],148.9973261341777,162.45242842752012,
21,0,0,21,22,[135.00685581032218],135.00685581032218,162.45242842752012,
22,0,0,22,23,[153.76270622403183],153.76270622403183,162.45242842752012,
23,0,0,23,24,[133.96956615054],133.96956615054,162.45242842752012,
24,0,0,24,25,[109.58044587207594],109.58044587207594,162.45242842752012,
25,0,0,25,26,[147.49402922192442],147.49402922192442,162.45242842752012,
26,0,0,26,27,[172.9382536276803],172.9382536276803,172.9382536276803,
27,0,0,27,28,[166.22193370353094],166.22193370353094,172.9382536276803,
28,0,0,28,29,[163.68216005041552],163.68216005041552,172.9382536276803,
29,0,0,29,30,[156.29592045921626],156.29592045921626,172.9382536276803,
30,0,1,0,1,[142.37274889861231],142.37274889861231,142.37274889861231,
31,0,1,1,2,[141.23533652070077],141.23533652070077,142.37274889861231,
32,0,1,2,3,[106.22927448999997],106.22927448999997,142.37274889861231,
33,0,1,3,4,[125.78672619143359],125.78672619143359,142.37274889861231,
34,0,1,4,5,[113.43623595623639],113.43623595623639,142.37274889861231,
35,0,1,5,6,[147.49402922192442],147.49402922192442,147.49402922192442,
36,0,1,6,7,[137.6825662628294],137.6825662628294,147.49402922192442,
37,0,1,7,8,[117.25187832749276],117.25187832749276,147.49402922192442,
38,0,1,8,9,[122.0447716941213],122.0447716941213,147.49402922192442,
39,0,1,9,10,[157.3709982220219],157.3709982220219,157.3709982220219,
40,0,1,10,11,[151.04621599946466],151.04621599946466,157.3709982220219,
41,0,1,11,12,[135.00685581032218],135.00685581032218,157.3709982220219,
42,0,1,12,13,[119.10061804970184],119.10061804970184,157.3709982220219,
43,0,1,13,14,[158.1333799161532],158.1333799161532,158.1333799161532,
44,0,1,14,15,[150.35400489203658],150.35400489203658,158.1333799161532,
45,0,1,15,16,[152.22068911320298],152.22068911320298,158.1333799161532,
46,0,1,16,17,[139.34604170468722],139.34604170468722,158.1333799161532,
47,0,1,17,18,[142.20137342601748],142.20137342601748,158.1333799161532,
48,0,1,18,19,[141.99720450911195],141.99720450911195,158.1333799161532,
49,0,1,19,20,[162.45242842752012],162.45242842752012,162.45242842752012,
50,0,1,20,21,[153.76270622403183],153.76270622403183,162.45242842752012,
51,0,1,21,22,[148.9973261341777],148.9973261341777,162.45242842752012,
52,0,1,22,23,[121.92929330241844],121.92929330241844,162.45242842752012,
53,0,1,23,24,[133.96956615054],133.96956615054,162.45242842752012,
54,0,1,24,25,[172.9382536276803],172.9382536276803,172.9382536276803,
55,0,1,25,26,[109.58044587207594],109.58044587207594,172.9382536276803,
56,0,1,26,27,[164.95783085754786],164.95783085754786,172.9382536276803,
57,0,1,27,28,[156.29592045921626],156.29592045921626,172.9382536276803,
58,0,1,28,29,[163.68216005041552],163.68216005041552,172.9382536276803,
59,0,1,29,30,[166.22193370353094],166.22193370353094,172.9382536276803,
60,0,2,0,1,[141.23533652070077],141.23533652070077,141.23533652070077,
61,0,2,1,2,[106.22927448999997],106.22927448999997,141.23533652070077,
62,0,2,2,3,[139.77718748970685],139.77718748970685,141.23533652070077,
63,0,2,3,4,[122.0447716941213],122.0447716941213,141.23533652070077,
64,0,2,4,5,[113.43623595623639],113.43623595623639,141.23533652070077,
65,0,2,5,6,[125.78672619143359],125.78672619143359,141.23533652070077,
66,0,2,6,7,[142.20137342601748],142.20137342601748,142.20137342601748,
67,0,2,7,8,[117.25187832749276],117.25187832749276,142.20137342601748,
68,0,2,8,9,[157.3709982220219],157.3709982220219,157.3709982220219,
69,0,2,9,10,[151.04621599946466],151.04621599946466,157.3709982220219,
70,0,2,10,11,[158.1333799161532],158.1333799161532,158.1333799161532,
71,0,2,11,12,[150.35400489203658],150.35400489203658,158.1333799161532,
72,0,2,12,13,[135.00685581032218],135.00685581032218,158.1333799161532,
73,0,2,13,14,[119.10061804970184],119.10061804970184,158.1333799161532,
74,0,2,14,15,[143.56320631279337],143.56320631279337,158.1333799161532,
